t,燃气机组,风电,光伏,储能,需求,价格
1,30.443583776476974,6.484168401258003,0.0,-6.518157827733104,40.10800598685236,0.4
2,27.72866994208776,2.8951674687162545,0.0,-6.9741870304746705,40.45789097221869,0.4
3,27.84646171390421,2.5759759885313307,1.5919490796250726,-7.168186979249067,41.55441310056621,0.4
4,32.291749545994385,1.3032970200036602,0.0,-7.504287499933771,44.22533288556829,0.40000000000000013
5,35.203724100212675,3.968836323550062,0.40302243919519587,-6.2726763586503,49.196986039736935,0.400000000000012
6,39.594270850603756,4.456599245595069,0.050774408453294895,-7.598802977646797,56.029509920660246,0.40000000000090286
7,42.297331410107915,3.170803941655974,1.6421458977363563,-2.6517668861916897,62.370986296414486,0.3000000000492975
8,46.46745649484106,5.77808721443372,5.1907624611112935,4.351286502586418,65.00004347836662,0.3000000019544692
9,44.968312176164176,7.378443127349661,8.658917598527104,6.60705881357829,62.37143128051499,0.30000005626758736
10,36.54606099217786,16.656402814850225,12.119403736312488,5.263178337374145,56.033212004871466,0.3000011762876
11,35.9811849647607,10.35108027393703,19.178838936005015,3.7079119926047763,49.221465664338226,0.3000178564248208
12,30.939258435449535,15.7177899515073,25.315881000221633,4.1163688143644634,44.35494006937447,0.3001968345203275
13,28.357474786378084,15.342648185991756,27.636866213432967,5.801879099193967,42.103882267214935,0.3015755557992222
14,27.2606245570835,14.816484317919562,26.646659380253627,5.201953580212188,42.32318669288184,0.3091578194443671
15,31.11221485612732,15.345921463153257,17.643955063373078,4.582950142239175,45.17840544903434,0.33865237022164985
16,35.64802913019344,13.942534760526721,14.977492663302975,6.116206727783145,51.056782931020074,0.4184638793410609
17,40.90476112462603,11.308510623247304,6.205387731239536,5.294682919026184,59.238496898000804,0.5636462120215242
18,44.98531523079775,8.82855192284959,4.883216705249588,4.604854322551387,66.84555313789421,0.7260718944831057
19,47.207019448082605,6.665660652930153,0.0,4.991225201495786,70.00003623197219,0.8
20,47.84972862967459,5.072027582421558,0.2664215999134487,5.306069024985873,66.84518231781047,0.7260718944831057
21,41.53636491815621,5.248413677714617,1.1890785682541503,1.2717324946977369,59.23541182782479,0.5636462120215242
22,36.15238174737491,3.69168582489911,0.08071967977889881,-7.087568642800357,51.03638324385233,0.4184638793410609
23,32.492885230177414,5.3978747766468285,1.4107589414651618,-6.140184319511891,45.07039946252918,0.33865237022164985
24,30.382137582858924,5.97880275394972,3.0142019282140766,-6.296930532632772,41.865295720674574,0.3091578194443671
