volume,interval,event
49.04155770000746,3.9725081443351087,1
40.886772724191786,3.2879292387919103,1
67.51177154163616,25.925009125221496,0
65.13239803313175,46.29570998104043,0
68.27914159789736,16.663169142426913,1
66.92112557722635,16.846237296550377,0
21.4000778343942,21.037974091691975,1
135.46492012165686,21.078300080978124,0
74.19641549926801,21.828741563070636,1
47.63664625588625,42.613955912623595,0
75.69636883103863,19.715506577914503,0
87.90574032106952,35.54717662742831,0
107.69441357359463,38.46918884118864,0
42.96689635572658,36.923958090088625,0
77.40437877720129,39.36766286118664,0
12.3715535272833,13.792049799755693,0
26.850854028582553,19.861633399539816,0
28.51977081458911,14.062376115654496,0
110.81960520681173,27.108135755180168,1
49.42838684562585,24.5774391737475,0
28.908739995226338,31.106067966244577,0
109.28487320514303,10.761034990545701,1
59.70620941539394,43.95386764244465,0
42.510871529221795,47.22221986330468,0
75.38830754374173,27.598124583851742,0
45.83453538138428,40.303962897643515,0
42.43811643525639,20.54437447800645,1
78.28997526488017,3.9525749573305236,0
49.450786474908234,24.952834707591656,0
43.05479968961664,29.407224389471644,0
52.348682565622546,6.448251314862397,1
51.99764596696179,22.9182347415705,0
56.947383123203984,25.637530685578206,0
64.21613995753337,25.309202642646568,0
27.544416546692965,13.538942805023703,0
16.795012650797638,21.878301879959306,0
49.203460930627585,32.53153916131747,0
108.33569175585387,6.058112197938302,1
40.56438093327623,39.41869035711417,0
81.40052922152957,27.64001076249599,0
56.29872496804421,41.297140840338294,0
43.62219639854622,35.534445326517755,0
68.41583789590857,36.4426461829792,0
57.32141431118686,26.759639037222065,0
37.60434617332551,29.665521321017525,0
79.63378512443987,16.88436303377279,0
50.54623359625545,37.36390746931105,0
87.50033872456876,40.59225584599893,0
62.87363471555521,20.071036892153227,1
31.7644495840734,22.731971242734442,0
67.30901429801536,32.58885241498565,0
127.11117619368649,9.613086577508847,1
57.360180139796086,27.577027453498044,0
91.96861105745104,2.692323170213244,1
46.69845366986561,27.595875078938555,0
38.84284060871338,29.726485219698706,0
59.703861845568284,6.442222939064631,1
54.29577641495342,36.27063693395665,0
52.555563665654894,7.622134828256112,0
63.955974881636635,10.25826916327022,1
42.38478518586579,32.01804602433242,0
97.52756634363003,14.582823341717855,1
36.11997400621396,30.709044808260302,1
77.93668596044097,36.94191445702934,0
59.22762023431162,43.7309322222563,0
81.00640014896057,30.77462924984745,0
126.12432764708926,37.854021526600455,0
54.57269107761445,30.73347474213205,0
32.7036224151843,44.14387190590448,0
16.93896192408065,33.321756531492674,0
111.10973219522373,23.18042455016665,1
55.69947719389975,17.451508346415086,0
86.34266727433425,23.475930729754165,0
68.19559548232161,25.95373523973451,1
64.6952877892227,21.284011231263708,0
81.34507161489395,33.756853074805974,1
113.16283748234156,25.039298956979312,0
58.29591521454289,15.762778278825703,0
98.5131969322273,35.69160043785447,0
202.03478184598754,37.06577331117405,1
46.95555403623166,13.421133271722946,0
59.11743203949398,36.60658163185556,0
73.78469882722106,32.93194319255957,1
44.96098767644262,24.96403339770561,0
60.052939468954854,15.912875806111495,0
53.48836326215553,9.891617583873474,1
82.78009415758466,31.342155156435847,0
17.91310882370883,3.398182639123992,1
41.12584433915516,46.81188338699219,0
49.06130484834729,4.167448962710894,1
65.15780612737682,14.833398956855657,1
34.2982515791871,14.687436936427371,0
45.70859750805461,17.360238136540247,0
67.05137020210407,27.51851008561804,0
51.983858300659634,21.151829379400063,0
105.63758036900055,27.420927364140642,0
39.50811545460299,25.764492197326515,1
89.52710045484108,3.6702053380202337,1
41.49286599049025,8.475781978861544,0
61.52410763391127,47.54725518621357,0
195.31236047891338,30.50048795069035,1
46.96886521720519,22.428846291627792,1
97.09395318246762,44.03111013693383,0
47.05433599923294,33.790234723321404,0
111.50645454919565,32.643431260185785,0
35.75039138240704,34.46550560601512,0
39.7230464075718,32.55447055160677,0
28.217102685526005,15.211778572252665,0
42.742658855847836,42.847588969491724,0
14.895082150214227,18.442279779934864,0
61.67481126799289,41.77901596202963,0
87.6521335390797,15.650002463612475,1
85.90969487997528,1.3889968302925968,0
63.368711615941706,44.556713149187686,0
52.457406772699244,42.718049329885844,0
45.09710677414637,40.40334505402622,0
168.6199730500283,34.00747879028654,1
68.47827592723408,39.0116867502495,1
40.27363119541127,18.60079074419742,0
44.66183010693229,38.14130668449336,0
