厚度,强度,浓度,温度,纯度
21.276135461031714,81.94069241977412,32.648783458394796,52.55417520784844,13.37527056075509
20.55456147188869,74.45387450176119,33.49410650669744,48.72198890279527,14.615309084791672
16.531028613152774,83.22189408174556,30.502957470382857,50.16217493382876,12.590223301532403
19.65483550889467,83.54701356578246,28.849551257527374,61.24203994096449,9.284134882202162
20.935479971484693,81.03135762261986,30.0771627868442,60.7346946330287,14.181353585193385
22.680340127654567,81.90107505921046,30.518942102764253,52.55395623103888,10.811365232021748
25.344022950981305,74.44698954521456,34.890088085181944,49.91695345943165,7.142596646103048
17.983913870093918,75.6451344837941,32.07043382112634,50.70659156601846,11.767274725236065
20.008764242642417,76.53188256656199,29.47606940190542,48.899017360297776,9.565111918748416
24.17605494069686,78.51723210974353,31.083309652418365,57.78886935894062,11.415298733973646
23.50509273454317,74.08888339467073,30.251134077480394,55.655537636425635,11.639723063593626
21.6154272134349,78.89956801363307,27.691705859464676,58.87241604829489,11.361784897878286
19.82553310201652,78.77315001903214,30.630398034137325,53.26155012187844,11.429622745925114
21.363177447074182,72.04819285663133,30.22093345018188,62.877479718766025,8.92727933800616
24.69787433578688,86.42511803838157,29.24568690458038,59.05847923947146,10.108526788772151
19.845826373437855,77.00640858065492,29.734570636092794,56.179969844920954,11.789931986189245
16.449950358321583,81.5721392066262,28.01824470007144,50.14532777292751,12.445174785687508
21.421033469470846,82.94496487474177,31.933060160146827,62.44830935551371,7.2666083855739
23.557699198180618,80.46184906652552,27.472619200857693,53.82392320527982,12.641774967869999
18.97611260840286,73.08013628520567,31.021952277150422,60.904085022650776,8.053747303525666
25.031391896133066,80.29775101917502,27.959055972439046,54.62518553691656,8.250125431888875
17.637115568572863,79.93590988642435,25.733017279490966,46.379873375278116,11.728105832469703
17.58922428451306,91.13605329277391,32.797559304656055,56.96549028369807,10.934475106401104
18.42325287137674,83.2936968278392,31.39152121788528,50.759422499716365,10.009716999850502
21.503659687252995,77.9750592622119,26.32061624826123,56.02728932775723,12.446922318545374
21.067996317873547,80.93909465458862,29.17048159963163,54.393080036265594,11.85502392161563
15.144327691131032,76.637136183925,25.866816994613394,50.298387199398704,8.742210365271958
25.055050765082747,76.04440047053457,26.842119731818123,58.824720569282064,7.3478343943743525
22.628474387896862,80.52737112639085,31.067287952102355,54.531768875900234,4.813501554660943
22.083456695697297,77.93176123499062,31.215237786390333,45.725625670847904,13.913897284983694
21.98548197114571,79.93471226357939,27.894260818078106,55.78611590951554,8.543579429359877
