t,E,M
0.0,0.0031195274935814114,0.008262225222771796
0.010050251256281407,0.002944374807223766,0.008033340463084944
0.020100502512562814,0.0027792972162049095,0.007742654657330093
0.03015075376884422,0.0026236199961166473,0.007544746576833541
0.04020100502512563,0.002477271854447478,0.007370865751794752
0.05025125628140704,0.002339069260909578,0.0070905297724908455
0.06030150753768844,0.002209303865062449,0.006869151545142469
0.07035175879396985,0.002086800448017186,0.006685164494047953
0.08040201005025126,0.0019717692555040684,0.006464211244398862
0.09045226130653267,0.0018637929557315171,0.006278280089414937
0.10050251256281408,0.0017616281555417688,0.006143877560807172
0.11055276381909548,0.0016659097870155369,0.005949357598426111
0.12060301507537688,0.0015750590994050065,0.005798715964530308
0.1306532663316583,0.0014897990121943336,0.005640501451244416
0.1407035175879397,0.001409091038154969,0.0054423629187252505
0.15075376884422112,0.0013335797611819726,0.00530366969330633
0.16080402010050251,0.0012625566983442997,0.0051502620511969
0.1708542713567839,0.001195581335009046,0.004991608778126041
0.18090452261306533,0.0011324925452273742,0.004844258882138391
0.19095477386934673,0.001073732554326054,0.004740729793189294
0.20100502512562815,0.0010184759714329985,0.00459306796430285
0.21105527638190955,0.0009654305273582163,0.0044772355839099946
0.22110552763819097,0.0009164167124100389,0.0043711476165902916
0.23115577889447236,0.0008691397649022143,0.004249146103432449
0.24120603015075376,0.0008249845376702836,0.004066592819443632
0.25125628140703515,0.0007836204675941944,0.003959042308341395
0.2613065326633166,0.0007447867394605207,0.0038652145428792017
0.271356783919598,0.0007077647455048308,0.0037681172539753495
0.2814070351758794,0.0006730147169041405,0.0036872881109402613
0.2914572864321608,0.0006406009758504871,0.0035281262853256207
0.30150753768844224,0.000609777830267283,0.0034447748414766386
0.31155778894472363,0.0005807630931373712,0.003369124015162791
0.32160804020100503,0.0005539542568533197,0.003305267655395116
0.3316582914572864,0.0005288360356199049,0.0032192389022060192
0.3417085427135678,0.0005048128159959511,0.0030598318513111013
0.35175879396984927,0.000482225315539458,0.0029984085348358307
0.36180904522613067,0.00046094492900124407,0.0028978273858271553
0.37185929648241206,0.00044073544251621637,0.0028672310527573857
0.38190954773869346,0.0004216752019870119,0.0027773440463224504
0.3919597989949749,0.0004035078436630825,0.0026776463119334644
0.4020100502512563,0.00038705378981202334,0.0025967300396191177
0.4120603015075377,0.00037128477483461064,0.002552780706135287
0.4221105527638191,0.00035641527084251666,0.0025043184216420058
0.4321608040201005,0.00034254789655426606,0.0023849137607729965
0.44221105527638194,0.0003296287794535311,0.0023332438501850517
0.45226130653266333,0.00031783424674911194,0.0022832895923720425
0.4623115577889447,0.00030608535379036175,0.002219260141413449
0.4723618090452261,0.00029496654500711785,0.0021694923111638424
0.4824120603015075,0.0002847297097074079,0.002071768657571039
0.49246231155778897,0.0002746781920975901,0.002028018558528105
0.5025125628140703,0.00026604226478948794,0.001928633624520676
0.5125628140703518,0.0002578030168100723,0.001940689841277157
0.5226130653266332,0.0002499746780445886,0.0019200664137873343
0.5326633165829145,0.0002422952760819357,0.0017767061240886873
0.542713567839196,0.00023540614684069224,0.0017713993934307128
0.5527638190954774,0.00022906172609201252,0.0017706686721177798
0.5628140703517588,0.0002228930403074291,0.0016941734416736271
0.5728643216080402,0.00021678508832085518,0.0015976949363449712
0.5829145728643216,0.00021046597998798989,0.0016470027668389203
0.592964824120603,0.00020553003228483544,0.0015278183868104433
0.6030150753768845,0.00020038501407442915,0.001571611026875549
